AskedPrice,FinalPrice,Surface,Room number,Sold date
2500000,2850000,63,2,2015-10-31,
5900000,5960000,50,3,2015-10-31,
2500000,2500000,52,2,2015-10-30,
3150000,3300000,53,2,2015-10-30,
2650000,3100000,59.5,2,2015-10-29,
1695000,2250000,30,1,2015-10-29,
2495000,2650000,46,2,2015-10-28,
3650000,4950000,87,4,2015-10-27,
1995000,2350000,36,1,2015-10-27,
8500000,8370000,169,5,2015-10-27,
2950000,2800000,72.2,2,2015-10-26,
9800000,9450000,126,5,2015-10-26,
2650000,2800000,69.5,3,2015-10-26,
8950000,8210000,152,7,2015-10-26,
5950000,6430000,120,6,2015-10-25,
2150000,2650000,41,2,2015-10-23,
2895000,2945000,72.7,3,2015-10-23,
1995000,1950000,48,2,2015-10-23,
4400000,5060000,110,4,2015-10-22,
2950000,3475000,55,2,2015-10-22,
8995000,8995000,123,4,2015-10-21,
1995000,2265000,54.5,2,2015-10-21,
2490000,2700000,68,2,2015-10-19,
1525000,2170000,28,1,2015-10-19,
2195000,2500000,44,2,2015-10-19,
2650000,2950000,61,2,2015-10-17,
4495000,4600000,125.5,5,2015-10-16,
5450000,5550000,84,3,2015-10-16,
1495000,1980000,29,1,2015-10-16,
6950000,8125000,125,6,2015-10-16,
8625000,8600000,195,7,2015-10-15,
5450000,5450000,140,6,2015-10-15,
2095000,2375000,64.6,2,2015-10-15,
2175000,2435000,60.5,2,2015-10-15,
3950000,4780000,97,4,2015-10-14,
2795000,3100000,59,2,2015-10-14,
2695000,3420000,45.5,2,2015-10-14,
3295000,3400000,74,4,2015-10-13,
2850000,3300000,55,2,2015-10-13,
6250000,6350000,119,5,2015-10-13,
5950000,6400000,127,6,2015-10-12,
2475000,2825000,78.1,3,2015-10-12,
3450000,3500000,63.5,2,2015-10-09,
11150000,11150000,157,6,2015-10-08,
5750000,6000000,124,5,2015-10-07,
2495000,2750000,26,3,2015-10-07,
3550000,4250000,103.5,4,2015-10-07,
1850000,2410000,37,1,2015-10-06,
2350000,2570000,60,2,2015-10-05,
2595000,2775000,55,2,2015-10-05,
3100000,3100000,69,2,2015-10-05,
4200000,4100000,103,4,2015-10-05,
1595000,2000000,31.5,1,2015-10-05,
12900000,12100000,214,9,2015-10-04,
5475000,6700000,109,4,2015-10-02,
8200000,8020000,178.1,7,2015-10-02,
3150000,3325000,77,3,2015-10-02,
3175000,3480000,69,3,2015-10-02,
2650000,2960000,72,3,2015-10-01,
2795000,2970000,73.5,3,2015-10-01,
1995000,2450000,57.7,2,2015-10-01,
2495000,3220000,50,2,2015-09-30,
3750000,4370000,93.5,4,2015-09-30,
7350000,8900000,121,4,2015-09-30,
1595000,1700000,40.3,1,2015-09-29,
1995000,2520000,41,2,2015-09-29,
1995000,2560000,36,1,2015-09-29,
2950000,3140000,58,2,2015-09-26,
2975000,3270000,52,2,2015-09-26,
2475000,2755000,69.5,3,2015-09-25,
2495000,3100000,43.8,2,2015-09-25,
9650000,9650000,132,4,2015-09-25,
2595000,2900000,57,2,2015-09-25,
3195000,3395000,71,3,2015-09-25,
2995000,3610000,62,3,2015-09-24,
6750000,7250000,102,4,2015-09-23,
2795000,3500000,63,3,2015-09-23,
5700000,4460000,39,4,2015-09-23,
8500000,9200000,178,8,2015-09-22,
1700000,1990000,39.5,1,2015-09-22,
